name,theme-primary,theme-secondary::Health,theme-secondary::Environment,theme-secondary::Education,theme-secondary::Finance,theme-secondary::Society,theme-secondary::Defence,theme-secondary::Transportation,theme-secondary::Location,theme-secondary::Spending data,theme-secondary::Government,theme-secondary::Spending
august-2012,Defence,,,,,,,,,,,
btp-crimes-recorded-february-2012,Defence,,,,,,,True,,,,
btp-crimes-recorded-january-2012,Defence,,,,,,,True,,,,
byelaws-ministry-of-defence-site-review-programme,Defence,,,,,,,,,,,
castlemartin_firing_programme_mod,Defence,True,,,,,True,,,,True,
court_martial_results_military_courts,Defence,,,,,,,,,,,
defence-infrastructure-organisation-disposals-database-house-of-commons-report,Defence,,,,,,,,,,True,
dio-operations-accommodation-customer-satisfaction-key-performance-indicators,Defence,,,,,,,,,,,
disclosure-ministerial-external-meetings-ministry-of-defence,Defence,,,,,,True,,,True,True,
disclosure-special-adviser-hospitality-received-ministry-of-defence,Defence,,,,,,,,,,True,
dsg-oranogram-as-at-31-march-2012,Defence,,,,,,,,,,,
financial-transactions-data-mod,Defence,,,,True,,True,,,True,True,
holcombe-moor-firing-programme-2012,Defence,True,,,,,True,,,,True,
imperial-war-museums-30-09-11,Defence,,,,,,,,,,,
iraq-polling-data,Defence,,,,,,True,,,,,
jsu-carbon-emissions-and-water-use,Defence,,True,,,,,,,,,
jsu-mechanical-transport-tasks,Defence,,,,,,,True,,,,
jsu-northwood-total-visitors,Defence,,,,,,,,,,,
mod_estate_information,Defence,,True,,,,True,,,,True,
national-army-museum-organogram,Defence,,,True,,,,,,,,
organogram-and-staff-pay-data-for-ministry-of-defence-march-2011-september-2011,Defence,,,,,,,,,,,
performance-related-pay-ministry-of-defence,Defence,,,,,,True,,,,,
review_of_tax_arrangements_of_public_sector_appointees_ministry_of_defence,Defence,,,,,,,,,,,
revoked-byelaws-mod-estate,Defence,,True,,,,,,,,,
senior-offices-of-the-armed-forces-business-expenses,Defence,,True,,,,True,,,True,,
senior-staff-meetings-with-external-organisations-ministry-of-defence,Defence,,,,,,True,,,,True,
sennybridge_firing_programme_mod,Defence,True,,,,,,,,,,
special-advisers-meetings-with-newspaper-and-other-media-proprietor-editors-and-senior-executives,Defence,,,,,,True,,,,True,
supporting-staff-organograms-and-pay-mod,Defence,,,,,,,,,,,
tregantle-firing-times,Defence,True,,,,,,,,,,
